Object_Id	Text_Value
1343152	<p>Customer is an individual, group of individuals or an organization who receive or may receive goods, services, products or ideas from our company in return of value which can be money or anything of equivalent value.</p>
1343153	<p>Kind of person who is very likely to buy the product or service offered by the business. Potential customers present an opportunity for the business and after qualification can convert into a quote stage and eventually result in an order or a sale.</p>
1343154	<p>Customer who are loyal to us and repeat the purchases irrespective of minor changes in parameters like price, quantity etc. </p><p>Customer who buys the more than once in our shop in one year.</p>
1343155	<p>The customers who order the product or service for the first time. Such customers can be switching from a competitor brand or may be new entrant into the market.</p>
1343156	<p>Those who only buy or use the offering because it was on discount or offered a cashback. These people are more likely to switch brands easily if prices reduce unlike loyal customers.</p>
1343157	<p>Those who were once buyer of one business and became buyers of a new business because of some reason. </p><p>These people would still be potential customers as they have already tried the product or service once.</p>
1343176	"<p style=""line-height: 1.6;"" data-mce-style=""line-height: 1.6;"">A sales order is a commercial document prepared by a seller and issued to a customer. It confirms the sale of goods or services and details the sale’s specifics, including the quantity, pricing, and quality of goods or services provided. It also gives information about the anticipated delivery date, delivery address, payment terms, and other terms and logistics of the sale.</p><p style=""line-height: 1.6;"" data-mce-style=""line-height: 1.6;""><a class=""rich-text-object-tag"" href=""/data-governance/space/22/-/app/118/-/object/1343173/-"" data-objectid=""1343173"" data-mce-href=""/data-governance/space/22/-/app/118/-/object/1343173/-"">Total Cost</a></p>"
1343177	"<p>A purchase order is a business document that’s initiated by a buyer and sent to a seller. It contains a summary of the <a class=""rich-text-object-tag"" href=""/data-governance/space/14/-/app/118/-/object/1343166/-"" data-objectid=""3296949"" data-mce-href=""/data-governance/space/14/-/app/118/-/object/1343166/-"">Product</a> or services (as well as the price) that a buyer will purchase from a seller. So that there’s no confusion it’s essential that a buyer is explicit about what their requests are – so the seller completely understands what’s expected.</p>"
1343178	<p>A defined geographical area within its borders can sales person or sales team operate.</p>
1343179	<p>Sales growth is a business term that indicates the ability to increase sales revenue from one fiscal period to another.</p>
1343180	"<p style=""line-height: 1.6;"" data-mce-style=""line-height: 1.6;"">Net sales are the total sales generated by a company, excluding any sales returns, allowances, and discounts. It is an important figure and is used by analysts when making decisions about the business or analyzing a company’s top-line growth.</p>"
1343181	"<p style=""line-height: 1.6;"" data-mce-style=""line-height: 1.6;"">The total sales that are not adjusted for any discounts, allowances, or returns. They include all types of sales, such as cash, debit or credit card, and trade credit sales.</p>"
1343170	"<p style=""line-height: 1.6;"" data-mce-style=""line-height: 1.6;"">If any goods that are purchased are eventually returned, they fall under returns. Our Company typically refunds the complete or partial amount of the goods, and the amount of gross sales is reduced by the amount of the refunds.</p>"
1343171	"<p style=""line-height: 1.6;"" data-mce-style=""line-height: 1.6;"">For any goods that are damaged, the company reduces the marked price and sells them at a lower price. The sales of such goods are recorded at a lower price; therefore, the difference between the marked price and the selling price (known as the allowance) is reduced from the gross sales number.&nbsp;</p>"
1343172	<p>Total number of sold products.</p>
1343173	"<p style=""line-height: 1.6;"" data-mce-style=""line-height: 1.6;"">Total cost refers to the aggregation of all types of costs related to a cost object, which means fixed costs, variable costs, and mixed costs. The total cost of our product line includes the variable cost of the goods sold, the costs of advertising the products, running the production line on which the goods are manufactured, and replacing products under the company’s warranty program.</p>"
1343174	"<p>Offer seasonal discounts to customers on goods purchased. Discounts can also be offered if the customer makes a bulk purchase or makes a payment before the stipulated time. Such discounts are reduced from <a class=""rich-text-object-tag"" href=""/data-governance/space/14/-/app/118/-/object/1343181/-"" data-objectid=""3296937"" data-mce-href=""/data-governance/space/14/-/app/118/-/object/1343181/-"">Gross Sales</a>.</p>"
1343175	"<p>Discounted Unit Price is the price per unit (<!--StartFragment--><a class=""rich-text-object-tag"" href=""https://demo.beapi.dawiso.com/data-governance/space/14/-/app/118/-/object/1343168/-"" data-objectid=""3296951"" data-mce-href=""/data-governance/space/14/-/app/118/-/object/1343168/-"" style=""text-decoration: none; color: rgb(36, 60, 184); font-weight: 400; font-family: Inter, sans-serif; font-size: medium; font-style: normal; font-variant-ligatures: no-common-ligatures; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px;"" data-mce-style=""text-decoration: none; color: #243cb8; font-weight: 400; font-family: Inter, sans-serif; font-size: medium; font-style: normal; font-variant-ligatures: no-common-ligatures; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px;"">Unit Price</a>) <!--EndFragment-->where the <a class=""rich-text-object-tag"" href=""/data-governance/space/14/-/app/118/-/object/1343174/-"" data-objectid=""3296942"" data-mce-href=""/data-governance/space/14/-/app/118/-/object/1343174/-"">Discount</a> has been applied.&nbsp;</p><p><br></p>"
1343164	"<p style=""line-height: 1.6;"" data-mce-style=""line-height: 1.6;"">Total Sales volume is the number of units sold within a reporting period. This indicator is monitored by investors to see if a business is expanding or contracting. Within a business, total sales volume is monitored at the level of the product, product line, customer, subsidiary, or sales region. This information is used to alter the investments targeted at any of these areas.</p>"
1343165	<p>A sales channel is the way how the products are distributed to the market. It can be through direct or indirect routes. There are currently two channels used in AdventureWorks: a direct internet channel and an indirect reseller channel.</p>
1343166	<p>An article or substance that is manufactured or refined for sale.</p>
1343167	<p>A product category is a group of similar products that share related characteristics.</p>
1343168	<p>The price for a single unit of measure of a product sold in more or less than the single unit.</p>
1343159	<p>A division of a business enterprise dealing with a particular area of activity.</p>
1343161	<p>Profit is the positive amount remaining after subtracting expenses incurred from the revenues generated over a designated period of time. This is one of the core measurements of the viability of a business, and so is closely watched by investors and lenders. Profitability can be quite hard to achieve for a startup business, since it is struggling to create a customer base and is not yet certain of the most efficient way in which to operate.</p>
1343158	<p>An employee is a person who has agreed to be employed to work for some form of payment under a contract of employment.</p>
1343160	<p>Candidate is a job seeker who has been pre-qualified for a specific position or category of jobs and has been through the application process. </p>
1343169	<p>A person is a being that has certain capacities or attributes such as reason, morality, consciousness, or self-consciousness, and is a part of a culturally established form of social relations such as kinship, ownership of property, or legal responsibility.</p>
1343162	<p>Purchase is to buy something. noun. acquisition by the payment of money or its equivalent; buying, or a single act of buying. something that is purchased or bought. something purchased, with respect to value in relation to price; buy: At three for a dollar they seemed like a good purchase.</p>
